0.000	0.035	0.680
0.017	0.093	0.750
0.033	0.134	0.811
0.050	0.175	0.872
0.067	0.216	0.926
0.084	0.265	0.983
0.100	0.303	1.040
0.117	0.348	1.089
0.134	0.389	1.130
0.150	0.438	1.171
0.167	0.479	1.212
0.184	0.524	1.244
0.200	0.566	1.277
0.217	0.615	1.305
0.234	0.656	1.330
0.251	0.701	1.346
0.267	0.750	1.362
0.284	0.795	1.379
0.301	0.832	1.387
0.317	0.882	1.395
0.334	0.927	1.395
0.351	0.972	1.394
0.367	1.017	1.390
0.384	1.062	1.374
0.401	1.107	1.369
0.418	1.148	1.353
0.434	1.197	1.332
0.451	1.242	1.312
0.468	1.287	1.287
0.484	1.328	1.258
0.501	1.381	1.217
0.518	1.422	1.184
0.534	1.463	1.147
0.551	1.512	1.098
0.568	1.553	1.052
0.585	1.593	0.999
0.601	1.642	0.941
0.618	1.679	0.888
0.635	1.728	0.822
0.651	1.769	0.761
0.668	1.818	0.699
0.685	1.859	0.617
0.701	1.903	0.547
0.718	1.940	0.473
0.735	1.981	0.395
0.752	2.026	0.301
0.768	2.066	0.223
0.785	2.115	0.133
0.802	2.148	0.038
